Sum of Survived,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female Total,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male Total,Grand Total
Row Labels,0.75,1,2,3,4,5,6,7,8,9,10,11,13,14,14.5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30.5,31,32,32.5,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,60,62,63,(blank),,0.42,0.67,0.83,0.92,1,2,3,4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,20.5,21,22,23,23.5,24,24.5,25,26,27,28,28.5,29,30,30.5,31,32,32.5,33,34,34.5,35,36,36.5,37,38,39,40,40.5,41,42,43,44,45,45.5,46,47,48,49,50,51,52,54,55,55.5,56,57,58,59,60,61,62,64,65,66,70,70.5,71,74,80,(blank),,
0,,,0,0,,,0,,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,0,,,,,0,0,,,,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,,,,0,0,,0,0,,0,,,0,,,,0,,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,,0,,,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,,0,,0,,0,,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,0,0,0,,,0,0,0,,0,0,0,0,,,,0,,0,0,,,,,0,0,,,,,0,0,0
3,,,0,0,,,0,,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,,,,0,,0,,,0,,,0,,0,,0,0,0
1,2,2,2,1,5,4,1,1,1,,,,2,3,,4,5,5,8,7,,4,10,4,14,2,3,5,5,5,9,,5,2,1,6,4,8,7,,4,4,5,2,3,1,2,3,1,3,2,4,1,2,1,3,1,1,,3,1,1,2,36,233,1,1,2,1,3,1,4,2,1,,1,2,,1,1,,,1,1,1,2,3,,1,1,1,,1,,4,3,6,2,,3,1,,3,7,,,2,,3,4,,1,1,1,1,,,3,,1,2,,,,3,2,1,1,1,,,,1,,,,1,,1,,,,,,,,1,16,109,342
1,,,,,,,,,,,,,,1,,1,3,2,3,3,,2,4,2,5,,1,,,1,5,,2,1,,3,,6,3,,3,4,2,1,1,1,2,1,1,2,2,1,1,2,1,2,,1,,3,1,1,1,9,91,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,2,1,3,2,,,,,1,1,,,1,,3,4,,1,1,,1,,,2,,,1,,,,3,2,1,1,1,,,,1,,,,1,,,,,,,,,,1,5,45,136
2,,,1,1,2,1,1,1,1,,,,1,1,,,,2,2,2,,1,2,1,6,2,,2,5,3,3,,1,1,1,2,4,1,3,,,,3,1,2,,,2,,1,,3,,,,1,1,,,,,,,2,70,,1,2,,2,1,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,17,87
3,2,2,1,,3,3,,,,,,,1,1,,3,2,1,3,2,,1,4,1,3,,2,3,,1,1,,2,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,25,72,1,,,,1,,2,1,1,,,2,,,1,,,1,,1,1,3,,1,1,,,1,,2,2,3,,,3,1,,1,5,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47,119
Grand Total,2,2,2,1,5,4,1,1,1,0,0,0,2,3,0,4,5,5,8,7,0,4,10,4,14,2,3,5,5,5,9,0,5,2,1,6,4,8,7,0,4,4,5,2,3,1,2,3,1,3,2,4,1,2,1,3,1,1,0,3,1,1,2,36,233,1,1,2,1,3,1,4,2,1,0,1,2,0,1,1,0,0,1,1,1,2,3,0,1,1,1,0,1,0,4,3,6,2,0,3,1,0,3,7,0,0,2,0,3,4,0,1,1,1,1,0,0,3,0,1,2,0,0,0,3,2,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,16,109,342
